niveau_intervention;representants_id
Local;271
National;271
Européen;271
National;272
Européen;272
Local;273
National;273
Européen;273
Local;274
National;274
Européen;274
Mondial;274
Local;275
National;275
Local;276
National;276
National;277
National;278
Européen;278
Mondial;278
Local;279
National;279
National;280
Européen;280
National;281
Local;282
National;282
Européen;282
Local;283
National;283
Européen;283
Mondial;283
National;284
Local;285
National;286
Européen;286
National;287
Local;288
National;288
Européen;288
Local;289
National;289
Local;290
National;290
Européen;290
Local;291
National;291
Européen;291
National;292
Local;293
National;293
Européen;293
Mondial;293
Local;294
National;294
Mondial;295
Local;296
National;296
Local;297
National;297
Local;298
National;298
National;299
Local;300
Local;301
National;301
Européen;301
Local;302
National;302
Européen;302
National;303
National;304
National;305
Européen;305
Mondial;305
Local;306
Local;307
National;307
Local;308
National;308
Local;309
National;310
Européen;310
Mondial;310
Local;311
National;311
Européen;311
National;312
National;313
Local;314
National;314
Européen;314
Local;315
National;315
Européen;315
Mondial;315
National;316
Européen;316
Local;317
National;317
Local;318
National;318
Européen;318
Local;319
National;319
Européen;319
Local;320
National;320
Européen;320
Mondial;320
National;321
Local;322
National;323
National;324
Européen;324
Mondial;324
Local;325
Local;326
National;326
Européen;326
National;327
Européen;327
Mondial;327
Local;328
National;328
National;329
Européen;329
Mondial;330
Local;331
National;331
Européen;331
Mondial;331
Local;332
National;332
Européen;332
Local;333
National;333
Européen;333
Mondial;334
Local;335
National;335
Européen;335
Mondial;335
Européen;336
Local;337
National;337
Européen;337
Mondial;337
Local;338
National;338
Européen;338
Mondial;338
National;339
Local;340
National;340
Européen;340
Mondial;340
National;341
Européen;341
Local;342
National;342
Européen;342
National;343
Européen;343
National;344
Local;345
National;345
Local;346
National;346
Européen;346
Local;347
National;347
National;348
Européen;348
Local;349
National;349
Européen;349
Mondial;349
National;350
National;351
Européen;351
Local;352
National;352
Local;353
National;353
Européen;353
Local;354
National;355
Local;356
National;356
Européen;356
Mondial;356
Local;357
Local;358
National;358
Européen;358
Mondial;358
Local;359
National;359
Européen;359
Local;360
National;360
Européen;360
Mondial;360
Local;361
National;361
Local;362
National;362
Européen;362
Mondial;362
Local;363
National;363
Local;364
National;364
Européen;364
Mondial;364
National;365
Local;366
National;366
Européen;366
Local;367
National;367
Européen;367
Local;368
National;368
Local;369
National;369
Local;370
National;370
Européen;370
Mondial;370
National;371
Européen;371
Local;372
National;372
Européen;372
National;373
National;374
Européen;374
Local;374
Local;375
National;375
Local;376
National;376
Local;377
Local;378
National;378
National;379
Local;380
National;380
Européen;380
Mondial;380
National;381
Européen;381
Local;382
National;382
Européen;382
National;383
National;384
Européen;384
Local;385
Local;386
National;386
Européen;386
National;387
Européen;387
Mondial;387
Local;388
Local;389
National;389
Local;390
National;390
Européen;390
Local;391
National;391
Européen;391
National;392
Européen;392
Local;393
National;393
Européen;393
National;394
Local;395
National;395
Européen;395
Mondial;395
Local;396
National;397
Européen;397
Mondial;397
Local;398
National;398
Européen;398
Local;399
National;399
Européen;399
Mondial;399
Local;400
Local;401
Local;402
Local;403
National;403
Européen;403
Mondial;403
Local;404
National;404
Européen;404
Mondial;404
National;405
Européen;405
National;406
Local;407
National;407
Européen;407
Local;408
Local;409
National;409
Européen;409
Mondial;409
National;410
Européen;410
National;411
National;412
National;413
Européen;413
Local;414
National;414
Européen;414
Local;415
National;415
Européen;415
National;416
Local;417
National;417
Local;418
National;418
Européen;418
Mondial;418
National;419
Européen;420
Mondial;420
National;421
Européen;421
Local;422
National;422
National;423
Local;424
National;424
Européen;424
Mondial;424
Local;425
National;425
Local;426
National;427
Local;428
National;428
Européen;428
Local;429
Local;430
National;430
Local;431
National;431
Local;432
National;432
Européen;432
Local;433
National;434
Local;435
National;435
Européen;435
Mondial;435
National;436
Local;437
National;437
Européen;437
Mondial;437
National;438
Européen;438
Local;439
National;439
Européen;439
Mondial;439
Local;440
National;440
Local;441
National;441
Européen;441
Mondial;441
Local;442
National;442
Européen;442
National;443
Local;444
National;444
Local;445
National;445
Local;446
National;446
Européen;446
Local;447
Local;448
National;448
Local;449
National;449
Européen;449
National;450
Local;451
National;451
Européen;451
Local;452
National;452
Européen;452
Local;453
Local;454
National;454
Européen;454
National;455
Européen;455
Local;456
National;456
Européen;456
Mondial;456
Local;457
National;457
Européen;457
Mondial;457
National;458
Local;459
National;459
Européen;459
Mondial;459
National;460
Européen;460
Local;461
Local;462
National;462
Européen;462
National;463
Européen;463
National;464
Européen;464
Local;465
National;465
Européen;465
Local;466
National;466
Européen;466
Local;467
National;467
Européen;467
Local;468
Local;469
National;469
Européen;469
Local;470
National;470
Européen;470
National;471
National;472
National;473
Européen;473
Mondial;473
National;474
Local;475
National;475
National;476
Local;477
National;477
Européen;477
Local;478
National;479
Local;480
National;480
Européen;480
Mondial;480
Local;481
National;481
Européen;481
Mondial;481
Local;482
National;482
National;483
Local;484
National;484
Local;485
National;485
Européen;485
Mondial;485
Local;486
National;486
Européen;486
Local;487
Local;488
National;488
Européen;488
Mondial;488
Local;489
National;489
Européen;489
Local;490
National;490
Européen;490
Local;491
National;492
Local;493
National;493
Européen;493
Local;494
National;494
National;495
Local;496
National;496
Européen;496
Local;497
National;497
Européen;497
Mondial;497
National;498
National;499
National;500
Local;501
National;501
Européen;501
Local;502
Local;503
National;503
Européen;503
Local;504
National;504
Européen;504
Local;505
National;505
Européen;505
National;506
Européen;506
Mondial;506
Local;507
National;507
Européen;507
Local;508
National;508
National;509
Européen;509
Local;510
Local;511
National;511
Européen;511
Local;512
National;512
National;513
National;514
Local;515
National;515
Européen;515
National;516
Local;517
National;517
Local;518
National;518
Européen;518
National;519
Européen;519
Local;520
National;520
Local;521
National;522
Européen;522
Mondial;522
National;523
Européen;523
Mondial;523
Local;524
National;524
National;525
Local;526
Local;527
National;527
Européen;527
National;528
Européen;528
Local;529
National;529
Local;530
National;530
Local;531
National;532
National;533
Européen;533
Mondial;533
National;534
National;535
Européen;535
Local;536
National;536
Européen;536
Mondial;536
Local;537
National;537
Local;538
National;538
Européen;538
National;539
Européen;539
National;540
Européen;540
Local;541
National;541
Européen;541
Mondial;541
Local;542
National;542
Européen;542
Mondial;542
Local;543
National;543
Européen;543
National;544
Local;545
National;545
National;546
National;547
Local;548
National;548
Local;549
National;549
Européen;549
Local;550
National;550
Européen;550
Local;551
National;551
Européen;551
Local;552
National;552
Européen;552
National;553
Européen;553
Local;554
National;554
Européen;554
Local;555
National;555
Européen;555
National;556
Européen;556
Local;557
National;557
Européen;557
Mondial;557
Local;558
National;558
National;559
National;560
Local;561
National;561
Local;562
National;562
Européen;562
Mondial;562
Local;563
National;563
Local;564
National;564
Européen;564
Mondial;564
Local;565
National;565
Local;566
National;566
Européen;566
Mondial;566
Local;567
National;567
Européen;567
Mondial;567
National;568
Européen;568
Mondial;569
Local;570
National;570
Européen;570
Mondial;570
Local;571
National;571
Européen;571
Mondial;571
Local;572
National;572
Local;573
National;573
Européen;574
National;575
Européen;575
Mondial;575
Local;576
National;576
Européen;576
Mondial;576
National;577
Européen;577
Local;578
National;578
Européen;578
Mondial;578
National;579
Européen;579
Mondial;579
Local;580
National;580
Européen;580
National;581
Européen;581
National;582
Local;583
National;584
Européen;584
Local;585
Local;586
National;586
Européen;586
Mondial;586
Local;587
National;587
Européen;587
Mondial;587
National;588
Local;589
National;589
Européen;589
Local;590
National;590
Européen;590
Local;591
National;591
Européen;591
Local;592
National;592
Européen;592
Mondial;592
Local;593
National;593
Européen;593
Mondial;593
Local;594
National;594
Européen;594
Local;595
National;595
Européen;595
Mondial;595
Mondial;596
Local;597
Local;598
National;598
Local;599
National;599
Européen;599
Mondial;599
Local;600
National;600
Européen;600
National;601
Local;602
National;602
Local;603
National;603
Européen;603
National;604
Mondial;604
Local;605
Local;606
National;606
Européen;606
Local;607
Local;608
National;608
Européen;608
National;609
Européen;609
National;610
Local;611
National;611
Local;612
National;613
Européen;613
Local;614
National;614
Européen;614
National;615
Local;616
National;616
Européen;616
Mondial;616
National;617
Local;618
Local;619
National;619
Européen;619
National;620
National;621
Local;622
National;623
National;624
National;625
Européen;625
Mondial;625
Local;626
National;626
Européen;626
Local;627
National;627
Européen;627
Mondial;627
Local;628
National;628
Local;629
National;629
Européen;629
Local;630
National;630
Européen;630
Local;631
National;631
Local;632
National;632
Local;633
National;633
Européen;633
Local;634
National;634
Européen;634
Mondial;634
Local;635
National;635
Européen;635
Mondial;635
Local;636
National;636
Local;637
National;637
Européen;637
Local;638
National;639
Européen;639
Mondial;639
Local;640
Local;641
National;641
Européen;641
Local;642
National;642
Local;643
National;643
Local;644
National;644
Local;645
National;645
Européen;645
Local;646
National;646
Européen;646
Local;647
National;648
Européen;648
National;649
Européen;649
Local;650
National;650
Européen;650
National;651
Local;652
Local;653
National;653
Européen;653
Local;654
National;654
National;655
Européen;655
Local;656
National;657
Local;658
Local;659
National;659
Européen;659
National;660
Local;661
