action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
3704;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;Affaires européennes
3704;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;Affaires européennes
3704;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Affaires européennes
3704;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt, Affaires sociales et santé, Autres : à préciser;;Affaires européennes
3705;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
3705;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3705;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3705;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3705;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social, Affaires sociales et santé;;
3706;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3706;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3706;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3707;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3707;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3707;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3708;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3708;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3708;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3708;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3708;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
3711;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3711;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3711;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
3711;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Outre-mer;;
3713;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3713;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3719;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3719;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3719;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3722;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3722;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3722;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3724;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3724;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
3725;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
3725;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3725;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3725;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
3731;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3731;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3731;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3735;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3735;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
3736;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3736;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3737;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
3737;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3737;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
3738;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3738;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3738;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3739;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
3739;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
3739;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3739;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
3739;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Aménagement du territoire, ruralité et collectivités territoriales, Affaires étrangères et développement international;;
3740;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;
3740;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3740;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche;;
3742;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3742;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3742;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3743;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3743;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3744;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3744;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3744;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication;;
3745;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3745;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3745;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication;;
3746;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3746;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3746;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3746;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Affaires sociales et santé;;
3747;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3747;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3747;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication;;
3748;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3748;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
3748;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication;;
3749;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3749;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3749;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3749;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3750;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3750;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3751;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3751;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3752;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3752;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3752;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3752;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé, Education nationale, enseignement supérieur et recherche;;
3754;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3754;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3754;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3754;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3754;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
3755;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3755;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3755;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3756;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3756;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3756;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3757;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3757;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3757;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3758;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3758;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3758;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3759;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3759;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3759;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3759;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3760;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3760;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3760;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3761;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3761;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3761;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3762;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3762;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3762;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3762;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3764;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3764;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3764;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3765;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3765;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3765;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3767;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3767;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3767;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3767;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
3768;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3768;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3768;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3769;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3769;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3769;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3770;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3770;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3770;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3771;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3771;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3771;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3772;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3772;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3773;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3773;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3773;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3774;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3774;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3774;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3782;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3782;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3782;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3785;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
3785;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3785;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3785;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3785;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales, Environnement, énergie et mer;;
3785;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
3785;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
3786;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3786;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
3786;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
3786;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3786;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3786;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3786;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances, Environnement, énergie et mer;;
3786;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Médiateur national de l'énergie;
3786;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Commission de régulation de l'énergie;
3786;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante; Commission nationale du débat public;
3786;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Médiateur national de l'énergie, Commission de régulation de l'énergie, Commission nationale du débat public;;
3787;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3787;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3787;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3787;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Agriculture, agroalimentaire et forêt;;
3788;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3788;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3788;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3791;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3791;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3791;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3792;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3792;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3792;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3797;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3797;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3797;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3798;Membre du Gouvernement ou membre de cabinet ministériel;Logement;
3798;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3798;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3798;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Environnement, énergie et mer;;
3798;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
3798;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
3799;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3799;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3799;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3799;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3799;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
3799;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
3801;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3801;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3801;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3801;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3801;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
3801;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
3802;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3802;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3802;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3802;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3802;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Commission de régulation de l'énergie;
3802;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission de régulation de l'énergie;;
3806;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3806;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3810;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
3810;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3810;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3810;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
3816;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;porte-parolat du gouvernement
3816;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;porte-parolat du gouvernement
3816;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;porte-parolat du gouvernement
3816;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer, Autres : à préciser;;porte-parolat du gouvernement
3819;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3819;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3820;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
3820;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
3821;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3821;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3821;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3821;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
3821;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer, Outre-mer;;
3822;Membre du Gouvernement ou membre de cabinet ministériel;Outre-mer;
3822;Membre du Gouvernement ou membre de cabinet ministériel - Outre-mer;;
3824;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3824;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3824;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3824;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3825;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3825;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3825;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3826;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3826;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3826;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3826;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
3830;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3830;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3830;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3832;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3832;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3832;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3837;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
3837;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3837;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
3838;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
3838;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3838;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3838;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Environnement, énergie et mer;;
3839;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3839;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3839;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt;;
3841;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Ministère en charge des Affaires Européennes / Ministère de l'Enseignement Supérieur
3841;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Ministère en charge des Affaires Européennes / Ministère de l'Enseignement Supérieur
3842;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
3842;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
3843;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3843;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3844;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3844;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3845;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3845;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3845;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3846;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3846;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3846;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3847;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3847;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3848;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3848;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3849;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3849;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3849;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3849;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Affaires sociales et santé;;
3850;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3850;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3850;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3851;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3851;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3852;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
3852;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3852;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3852;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Affaires sociales et santé;;
3853;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3853;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3853;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3854;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
3854;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
3855;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3855;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3855;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
3856;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Famille;
3856;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3856;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
3856;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3856;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Défense;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3856;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3856;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3856;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
3856;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Outre-mer, Famille, enfance et droits des femmes, Agriculture, agroalimentaire et forêt, Travail, emploi, formation professionnelle et dialogue social, Défense, Affaires sociales et santé, Economie et finances, Education nationale, enseignement supérieur et recherche, Environnement, énergie et mer, Affaires étrangères et développement international;;
3857;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
3857;Membre du Gouvernement ou membre de cabinet ministériel; Ville;
3857;Membre du Gouvernement ou membre de cabinet ministériel; jeunesse et sport;
3857;Membre du Gouvernement ou membre de cabinet ministériel; Agriculture;
3857;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
3857;Membre du Gouvernement ou membre de cabinet ministériel; Travail;
3857;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
3857;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
3857;Membre du Gouvernement ou membre de cabinet ministériel; Défense;
3857;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
3857;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
3857;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
3857;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
3857;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
3857;Membre du Gouvernement ou membre de cabinet ministériel; Outre-mer;
3857;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Ville, jeunesse et sport, Agriculture, agroalimentaire et forêt, Travail, emploi, formation professionnelle et dialogue social, Défense, Education nationale, enseignement supérieur et recherche, Environnement, énergie et mer, Affaires étrangères et développement international, Outre-mer;;
