action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
26;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
26;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
26;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
27;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
27;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
27;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
27;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
28;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction Générale du Trésor 
28;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction Générale du Trésor 
29;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
29;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
29;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
29;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
30;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haut Conseil du commissariat aux comptes;
30;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haut Conseil du commissariat aux comptes;;
31;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
31;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
31;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
31;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
32;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
32;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
33;Membre du Gouvernement ou membre de cabinet ministériel;Justice;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
33;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
33;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
33;Membre du Gouvernement ou membre de cabinet ministériel - Justice, Economie et finances, Autres : à préciser;;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
34;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haut Conseil du commissariat aux comptes;
34;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haut Conseil du commissariat aux comptes;;
35;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haut Conseil du commissariat aux comptes;
35;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haut Conseil du commissariat aux comptes;;
36;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction générale du Trésor
36;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction générale du Trésor
36;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;Direction générale du Trésor
36;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;Direction générale du Trésor
37;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction générale du Trésor
37;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction générale du Trésor
37;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;Direction générale du Trésor
37;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;Direction générale du Trésor
38;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française anticorruption
38;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française anticorruption
39;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
39;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
40;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
40;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
41;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
41;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
41;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser;;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
